------BEGIN-----
Set Voltages and References
Vout-,|926,1468,1976,2472,2969,3503,4005,4005,3866,3872,3837,3858,3774,3718,3662,3604,3527,3469,3416,3359,3312,3276,3250,3202,3160,3080,3039,2993,2949,2930,2801,2813,2757,2704,2654,2604,2555,2508,2459,2409,2365,2328,2269,2212,2139,2092,2039,1993,1935,1892,1820,1776,1748,1701,1624,1582,1530,1480,1436,1382,1335,1281,1234,1188,1137,1088,1037,988,941,890,840,791,742,695,653,598,549,505,448,401,351,300,249,199,150,-1,-1,-1,-1,-1,-151,-199,-249,-298,-349,-397,-449,-500,-547,-596,-648,-695,-747,-797,-848,-899,-953,-1009,-1057,-1097,-1148,-1189,-1237,-1283,-1337,-1399,-1453,-1494,-1546,-1592,-1632,-1684,-1732,-1785,-1817,-1879,-1929,-1976,-2054,-2101,-2136,-2207,-2246,-2276,-2332,-2391,-2446,-2509,-2552,-2600,-2635,-2691,-2759,-2804,-2855,-2905,-2957,-2994,-3030,-3080,-3132,-3174,-3226,-3285,-3328,-3386,-3430,-3480,-3536,-3560,-3610,-3665,-3702,-3758,-3810,-3875,-3914,-3996,-4492,-4957,-5445,-5972,-6421,-6941,-3994|
Vdiff_calc,|-7856,-7907,-7916,-7908,-7914,-7997,-8002,-8002,-7727,-7736,-7666,-7708,-7541,-7429,-7317,-7201,-7047,-6932,-6826,-6713,-6618,-6546,-6494,-6398,-6314,-6155,-6073,-5981,-5893,-5855,-5598,-5621,-5510,-5404,-5304,-5204,-5106,-5012,-4915,-4815,-4727,-4653,-4536,-4422,-4276,-4182,-4075,-3984,-3869,-3782,-3639,-3551,-3496,-3402,-3248,-3164,-3060,-2961,-2873,-2765,-2671,-2563,-2470,-2378,-2276,-2178,-2077,-1978,-1885,-1783,-1684,-1585,-1488,-1394,-1310,-1201,-1103,-1016,-902,-805,-706,-604,-502,-402,-303,0,0,0,0,0,298,394,494,592,694,791,892,994,1090,1187,1292,1386,1490,1590,1693,1795,1903,2016,2112,2192,2294,2376,2473,2564,2673,2797,2905,2987,3091,3183,3264,3367,3464,3570,3634,3759,3858,3953,4109,4203,4274,4416,4494,4554,4666,4785,4895,5021,5108,5203,5273,5386,5521,5611,5714,5814,5918,5992,6064,6164,6269,6353,6457,6575,6662,6777,6865,6966,7078,7126,7226,7337,7411,7523,7626,7756,7834,7999,7993,7934,7924,7958,7903,7880,7995|
Vbias,|3004,2488,1985,1486,992,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,991,1485,1995,2470,3002,0|
 
Meter regulation Pass/Fail
Vout+,|P,P,P,P,P,P,P,P,FAIL-LOW,P,P,FAIL-HIGH,P,P,P,P,P,P,P,FAIL-LOW,FAIL-LOW,P,P,P,P,P,P,P,P,P,FAIL-LOW,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,FAIL-LOW,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,FAIL-LOW,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,FAIL-LOW,P|
Vout-,|FAIL-LOW,FAIL-LOW,P,P,P,P,P,P,FAIL-LOW,P,P,FAIL-HIGH,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,FAIL-LOW,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,FAIL-LOW,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,FAIL-LOW,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,FAIL-LOW,P,P,P,P,P,P,P,P,P,FAIL-LOW,P,P|
Vbias,|P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P|
-----------
 
