100,2139,0.981981373,0
200,4235,0.98989703,0
300,6353,0.99240894,0
400,8471,0.998577556,0
500,10589,0.996328287,0
600,12707,0.998119967,0
700,14825,0.998228531,0
800,16943,1.000571,0
900,19061,1.001280979,0
1000,21179,0.999796204,0
1100,23296,0.999435059,0
1200,25414,1.000925,0
1300,27554,1.000514615,0
1400,29672,1.000960714,0
1500,31790,1.000527333,0
1600,33908,1.000828125,0
1700,36026,1.001108888,0
1800,38165,1.001311284,0
1900,40283,1.000974211,0
2000,42401,1.001640641,0
2100,44519,1.000825714,0
2200,46659,1.000991364,0
2300,48799,1.000670435,0
2400,50895,1.000375677,0
2500,53034,1.000511795,0
2600,55152,1.000186395,0
2700,57292,0.99996151,0
2800,59410,1.000067452,0
2900,61572,0.999782294,0
3000,63668,1.000951,0
